CODIGO_EMPRESA;CODIGO_CENTRO_CUSTO;NOME_CENTRO_CUSTO;DATA_CRIACAO;DATA_EXTINCAO
004;200;CONTABILIDADE - MUNDIART SA;2009-01-01;2999-12-31
004;400;PRODUCAO FACCAO - MUNDIART SA;2009-01-01;2999-12-31
004;400;DEPOSITO FACCAO - MUNDIART SA;2009-01-01;2999-12-31
004;300;ADM. IMPORTADO - MUNDIART SA;2009-01-01;2999-12-31
004;300;VENDAS IMPORTADO - MUNDIART SA;2009-01-01;2999-12-31
004;500;FACTORING - MUNDIART SA;2009-01-01;2999-12-31
004;200;RECURSOS HUMANOS - MUNDIART SA;2009-01-01;2999-12-31
004;200;ADMINISTRATIVA - MUNDIART SA;2009-01-01;2999-12-31
004;350;PRIVATE LABEL - MUNDIART SA;2023-02-06;2999-12-31
004;600;LOGISTICA - MUNDIART SA;2016-02-01;2999-12-31
004;300;DEPOSITO IMPORTADO - MUNDIART SA;2009-01-01;2999-12-31
008;7405;CIA - ITAQUI;2020-05-02;2999-12-31
008;355;IBIRUBA;2006-10-01;2999-12-31
008;634;ABELARDO LUZ;2023-04-01;2999-12-31
008;363;VERA CRUZ;2007-08-01;2999-12-31
008;7612;CIA LAGOA VERMELHA 7612;2022-01-03;2999-12-31
008;372;CAPANEMA;2007-07-01;2999-12-31
008;371;SANTA VITORIA DO PALMAR;2007-07-01;2999-12-31
008;478;TUPANCIRETA;2012-09-01;2999-12-31
008;183;ALEGRETE;1980-01-01;2999-12-31
008;520;NONOAI;2014-09-01;2999-12-31
008;546;RIO GRANDE;2017-07-01;2999-12-31
008;659;SAO MIGUEL DO IGUAÇU;2025-08-01;2999-12-31
008;105;MONTENEGRO;1980-01-01;2024-07-31
008;267;CANOINHAS;1980-01-01;2999-12-31
008;580;CIA SANTA ROSA;2020-08-01;2999-12-31
008;7041;CIA ESTEIO;2020-07-01;2999-12-31
008;7412;CIA SAO LEOPOLDO;2020-07-01;2999-12-31
008;173;PORTO ALEGRE;1980-01-01;2999-12-31
008;653;PINHAO;2025-03-13;2999-12-31
008;4566;PORTO ALEGRE;2018-04-02;2999-12-31
008;751;SUPERVISĂO ÁREA FINANCEIRA;2024-12-01;2999-12-31
008;349;MONTENEGRO;2006-08-01;2999-12-31
008;900;LOGISTICA;2025-08-01;2999-12-31
008;429;PELOTAS;2009-10-01;2999-12-31
008;479;TAPERA;2012-09-01;2999-12-31
008;7093;CIA SAO LEOPOLDO;2020-11-02;2999-12-31
008;7461;CIA VENANCIO AIRES;2020-09-01;2999-12-31
008;162;IGUATEMI;1980-01-01;2999-12-31
008;281;CARAZINHO;1980-01-01;2999-12-31
008;317;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;142;ROSARIO DO SUL;1980-01-01;2999-12-31
008;291;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;243;SAO GABRIEL;1980-01-01;2999-12-31
008;385;VENANCIO AIRES;2007-10-01;2999-12-31
008;265;SAO BORJA;1980-01-01;2999-12-31
008;445;SANTIAGO;2010-12-01;2999-12-31
008;469;CARAZINHO;2012-03-01;2999-12-31
008;440;ABELARDO LUZ;2010-08-01;2999-12-31
008;7446;CIA JULIO DE CASTILHOS;2020-11-02;2999-12-31
008;618;GAURAMA;2022-04-01;2999-12-31
008;307;PASSO FUNDO;1980-01-01;2999-12-31
008;507;PIRATINI;2014-03-01;2999-12-31
008;7594;CIA SANTA MARIA 7594;2021-08-01;2999-12-31
008;398;PINHAO;2008-03-01;2999-12-31
008;542;PALMITINHO;2016-11-01;2999-12-31
008;032;GUAPORE;1980-01-01;2024-07-31
008;545;SELBACH;2017-06-01;2999-12-31
008;606;GUARAPUAVA;2021-11-30;2999-12-31
008;458;ENCANTADO;2011-08-01;2999-12-31
008;770;CONTABILIDADE;1980-01-01;2024-07-31
008;047;LAGES;1980-01-01;2999-12-31
008;7032;CIA GUAPORE;2021-02-02;2999-12-31
008;046;RIO GRANDE;1980-01-01;2024-07-31
008;261;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;311;FLORES DA CUNHA;1980-01-01;2999-12-31
008;3566;PORTO ALEGRE;2018-04-02;2999-12-31
008;784;COMUNICACAO E PROJETOS;2013-03-01;2999-12-31
008;765;CAD;1980-01-01;2024-07-31
008;831;DIRETORIA POR MENOS;1980-01-01;2019-02-04
008;841;DIRETORIA FRANCO GIORGI;1980-01-01;2019-02-04
008;656;CAÇAPAVA DO SUL;2025-08-01;2999-12-31
008;093;SAO LEOPOLDO;1980-01-01;2999-12-31
008;201;GRAVATAI;1980-01-01;2999-12-31
008;530;SANTA MARIA;2015-03-01;2999-12-31
008;009;IJUI I;1980-01-01;2024-07-31
008;472;RONDA ALTA;2012-04-01;2999-12-31
008;505;CERRO LARGO;2014-03-01;2999-12-31
008;7386;CIA IGREJINHA;2020-10-01;2999-12-31
008;740;DIRETORIA ADMINISTRATIVA;1980-01-01;2024-07-31
008;533;SANTA MARIA;2015-05-01;2999-12-31
008;342;ARROIO DO TIGRE;2006-07-01;2999-12-31
008;347;BENTO GONCALVES;2006-08-01;2999-12-31
008;208;SAO JOSE;1980-01-01;2999-12-31
008;089;SANTANA LIVRAMENTO;1980-01-01;2024-07-31
008;553;BOSSOROCA;2017-10-01;2999-12-31
008;284;MARAU;1980-01-01;2999-12-31
008;7024;CIA TRES PASSOS;2020-06-01;2999-12-31
008;534;LAJEADO;2015-07-21;2999-12-31
008;259;DOM PEDRITO;1980-01-01;2999-12-31
008;519;MARAU;2014-09-01;2999-12-31
008;394;CARAZINHO;2008-02-01;2999-12-31
008;328;CAMAQUA;2006-03-01;2999-12-31
008;319;CERRO LARGO;1980-01-01;2999-12-31
008;065;PAROBE;1980-01-01;2999-12-31
008;7614;CIA CONCORDIA 7614;2022-02-28;2999-12-31
008;639;SOLEDADE;2023-11-01;2999-12-31
008;387;PALMAS;2007-11-01;2999-12-31
008;7353;CIA PRUDENTOPOLIS;2020-06-01;2999-12-31
008;120;PASSO FUNDO;1980-01-01;2024-07-31
008;400;SANTA MARIA;2008-05-01;2999-12-31
008;561;CANGUCU;2018-02-02;2999-12-31
008;433;SANTO ANTONIO DAS MISSOES;2009-11-01;2999-12-31
008;439;TRES PASSOS;2010-05-01;2999-12-31
008;787;RELAÇŐES PÚBLICAS;2024-04-12;2999-12-31
008;461;VENANCIO AIRES;2011-09-01;2999-12-31
008;7065;CIA PAROBE;2020-07-01;2999-12-31
008;484;CACADOR;2012-11-01;2999-12-31
008;647;CURITIBANOS;2024-07-01;2999-12-31
008;121;SAO BORJA;1980-01-01;2999-12-31
008;066;CONCORDIA;1980-01-01;2024-07-31
008;622;POUSO REDONDO;2022-05-01;2999-12-31
008;351;PALMEIRA;2006-09-01;2999-12-31
008;424;CANOAS;2009-07-01;2999-12-31
008;380;AMPERE;2007-09-01;2999-12-31
008;423;CONSTANTINA;2009-06-01;2999-12-31
008;488;NOVO HAMBURGO;2013-03-01;2999-12-31
008;005;CARAZINHO I;1980-01-01;2999-12-31
008;432;PASSO FUNDO;2010-02-01;2999-12-31
008;7020;CIA - FREDERICO WESTPHALEN;2020-05-02;2999-12-31
008;658;MATELANDIA;2025-08-11;2999-12-31
008;762;JURIDICA;2017-05-01;2018-10-10
008;709;EXPANSĂO E MERCADOS;2019-02-05;2999-12-31
008;100;URUGUAIANA;1980-01-01;2024-07-31
008;389;CARAZINHO;2007-12-01;2999-12-31
008;474;TRES DE MAIO;2012-06-01;2999-12-31
008;828;DEPOSITO ARRAZZO;1980-01-01;2024-07-31
008;459;SAO GABRIEL;2011-08-01;2999-12-31
008;538;GETULIO VARGAS;2016-02-01;2999-12-31
008;396;CONCORDIA;2008-03-01;2999-12-31
008;245;PASSO FUNDO;1980-01-01;2999-12-31
008;022;CANOAS;1980-01-01;2999-12-31
008;308;BARRACAO;1980-01-01;2999-12-31
008;460;SOLEDADE;2011-09-01;2999-12-31
008;345;PORTO ALEGRE;2006-08-01;2999-12-31
008;551;BOA VISTA DO BURICA;2017-09-01;2999-12-31
008;329;CRISSIUMAL;2006-02-01;2999-12-31
008;350;PORTO ALEGRE;2006-08-01;2999-12-31
008;473;NOVA HARTZ;2012-04-01;2999-12-31
008;464;FREDERICO WESTPHALEN;2011-11-01;2999-12-31
008;516;ESTEIO;2014-06-01;2999-12-31
008;900;LOGISTICA;2024-08-01;2999-12-31
008;247;BAGE;1980-01-01;2999-12-31
008;337;CANDELARIA;2006-06-01;2999-12-31
008;707;VICE-PRESIDENCIA;1980-01-01;2999-12-31
008;605;ALEGRETE;2021-08-01;2999-12-31
008;531;PALMEIRA DAS MISSOES;2015-05-01;2999-12-31
008;334;ESPUMOSO;2006-06-01;2999-12-31
008;7005;CIA CARAZINHO;2020-06-01;2999-12-31
008;244;SOLEDADE;1980-01-01;2999-12-31
008;038;BAGE;1980-01-01;2024-07-31
008;576;SANTA ROSA;2018-08-30;2999-12-31
008;871;DIRETORIA GZT STORE;2021-06-25;2999-12-31
008;422;XANXERE;2009-06-01;2999-12-31
008;358;SANTA ROSA;2006-11-01;2999-12-31
008;625;SIDEROPOLIS;2022-05-01;2999-12-31
008;414;GIRUA;2009-02-01;2999-12-31
008;487;SAPIRANGA;2013-03-01;2999-12-31
008;7066;CIA CONCORDIA;2020-06-01;2999-12-31
008;361;SANTA BARBARA DO SUL;2007-04-01;2999-12-31
008;293;TOLEDO;1980-01-01;2999-12-31
008;579;VERA CRUZ;2019-04-01;2999-12-31
008;811;DIRETORIA GRAZZIOTIN;2019-02-05;2999-12-31
008;7577;CIA - PINHAO;2020-05-02;2999-12-31
008;7406;CIA SAO FRANCISCO DE ASSIS;2020-08-01;2999-12-31
008;050;SANTA ROSA;1980-01-01;2999-12-31
008;466;AGUDO;2012-02-01;2999-12-31
008;7628;CIA JOACABA 7628;2022-04-01;2999-12-31
008;326;CACEQUI;2005-09-13;2999-12-31
008;7002;CIA CACHOEIRINHA;2020-07-01;2999-12-31
008;421;SANTA MARIA;2009-05-01;2999-12-31
008;527;ESTRELA;2014-10-01;2999-12-31
008;268;SANTA CRUZ;1980-01-01;2999-12-31
008;7608;CIA LAGES 7608;2022-01-03;2999-12-31
008;664;GRAVATAI;2025-09-01;2999-12-31
008;206;ITAQUI;1980-01-01;2999-12-31
008;043;SANTO AUGUSTO;1980-01-01;2999-12-31
008;619;SĂO JOAQUIM;2022-03-01;2999-12-31
008;154;VACARIA;1980-01-01;2999-12-31
008;760;DIRETORIA ADM. FINANCEIRA;1980-01-01;2024-07-31
008;338;AGUDO;2006-07-01;2999-12-31
008;390;VIAMAO;2007-12-01;2999-12-31
008;042;SANTANA LIVRAMENTO;1980-01-01;2999-12-31
008;7233;CIA URUGUAIANA;2020-11-02;2999-12-31
008;064;CANGUCU;1980-01-01;2999-12-31
008;7193;CIA DOM PEDRITO;2020-08-01;2999-12-31
008;388;NOVA PRATA;2007-11-01;2999-12-31
008;348;BARRACAO;2006-08-01;2999-12-31
008;138;RIO GRANDE;1980-01-01;2999-12-31
008;411;ALEGRETE;2008-10-01;2999-12-31
008;353;PRUDENTOPOLIS;2006-10-01;2999-12-31
008;209;SAO LEOPOLDO;1980-01-01;2999-12-31
008;731;ADMINISTRATIVO;2024-12-01;2999-12-31
008;196;CACAPAVA DO SUL;1980-01-01;2999-12-31
008;7051;CIA GIRUA;2020-08-01;2999-12-31
008;525;PASSO FUNDO;2014-10-01;2999-12-31
008;190;SAO BORJA;1980-01-01;2999-12-31
008;560;CUNHA PORA;2017-12-07;2999-12-31
008;448;TAQUARA;2011-01-01;2999-12-31
008;577;PINHAO;2019-01-01;2999-12-31
008;312;HORIZONTINA;1980-01-01;2999-12-31
008;431;SAO LUIZ GONZAGA;2009-11-01;2999-12-31
008;521;PINHEIRO MACHADO;2014-09-01;2999-12-31
008;224;PONTA GROSSA;1980-01-01;2999-12-31
008;515;PASSO FUNDO;2014-07-01;2999-12-31
008;7563;CIA - SAO SEBASTIAO DO CAI;2020-05-02;2999-12-31
008;907;E COMMERCE;2018-07-01;2999-12-31
008;7430;CIA - SANTANA DO LIVRAMENTO;2020-05-02;2999-12-31
008;7598;CIA GUARAPUAVA 7598;2021-11-30;2999-12-31
008;7592;CIA PASSO FUNDO 7592;2021-08-01;2999-12-31
008;379;CORONEL VIVIDA;2007-10-01;2999-12-31
008;571;MARMELEIRO;2018-06-01;2999-12-31
008;378;SAO LOURENCO D OESTE;2007-08-01;2999-12-31
008;266;LAGES;1980-01-01;2999-12-31
008;475;CHAPECO;2012-06-01;2999-12-31
008;603;ENTRE IJUIS;2022-01-03;2999-12-31
008;7038;CIA BAGE;2020-06-01;2999-12-31
008;044;PASSO FUNDO;1980-01-01;2024-07-31
008;851;DIRETORIA TOTTAL;2019-02-05;2999-12-31
008;570;MARAVILHA;2018-06-01;2999-12-31
008;096;SANTA CRUZ;1980-01-01;2999-12-31
008;126;SANTA CRUZ;1980-01-01;2024-07-31
008;198;BAGE;1980-01-01;2999-12-31
008;587;ARROIO DO TIGRE;2025-02-01;2999-12-31
008;112;IJUI;1980-01-01;2024-07-31
008;825;COMPRAS ARRAZZO;1980-01-01;2024-07-31
008;785;PESQUISA E DESENVOLVIMENTO P&D;2022-09-01;2025-07-31
008;297;VACARIA;1980-01-01;2999-12-31
008;7541;CIA ROSÁRIO DO SUL;2020-06-01;2999-12-31
008;467;ALEGRETE;2012-03-01;2999-12-31
008;7504;CIA CERRO LARGO;2020-11-02;2999-12-31
008;7112;CIA IJUI;2020-09-01;2999-12-31
008;768;INFRAESTRUTURA, SUPORTE E GESTĂO;1980-01-01;2024-07-31
008;357;NOVA PRATA;2006-11-01;2999-12-31
008;540;SOLEDADE;2016-04-01;2999-12-31
008;278;URUGUAIANA;1980-01-01;2999-12-31
008;705;PRESIDENCIA;1980-01-01;2999-12-31
008;588;PORTO UNIAO;2025-03-01;2999-12-31
008;264;PANAMBI;1980-01-01;2999-12-31
008;7084;CIA BENTO GONCALVES;2021-05-01;2999-12-31
008;381;LARANJEIRAS DO SUL;2007-10-01;2999-12-31
008;592;PASSO FUNDO;2025-02-11;2999-12-31
008;7022;CIA CANOAS;2020-11-02;2999-12-31
008;613;TRES DE MAIO;2022-04-01;2999-12-31
008;524;TEUTONIA;2014-10-01;2999-12-31
008;362;TENENTE PORTELA;2007-04-01;2999-12-31
008;341;NAO ME TOQUE;2006-07-01;2999-12-31
008;550;PLANALTO;2017-09-01;2999-12-31
008;633;SAO MATEUS DO SUL;2023-03-01;2999-12-31
008;374;LAGES;2007-08-01;2999-12-31
008;582;SANTA MARIA;2019-10-01;2999-12-31
008;7133;CIA CURITIBANOS;2021-05-01;2999-12-31
008;7488;CIA NOVO HAMBURGO;2020-07-01;2999-12-31
008;7620;CIA SAO GABRIEL 7620;2022-04-01;2999-12-31
008;7173;GRAZZIOTIN SA PORTO ALEGRE 173;2019-10-01;2999-12-31
008;706;ASSESSORIA DIRETORIA;2024-04-01;2999-12-31
008;055;CRUZ ALTA;1980-01-01;2999-12-31
008;518;ITAIOPOLIS;2014-09-01;2999-12-31
008;595;CHAPECO;2021-09-01;2999-12-31
008;7602;CIA NAO ME TOQUE 7602;2021-08-05;2999-12-31
008;125;ERECHIM;1980-01-01;2999-12-31
008;253;ITAJAI;1980-01-01;2999-12-31
008;765;CAD;2017-05-01;2024-07-31
008;366;QUARAI;2007-06-01;2999-12-31
008;449;SAO JOAQUIM;2011-02-01;2999-12-31
008;617;SARANDI;2022-01-03;2999-12-31
008;453;RODEIO BONITO;2011-05-01;2999-12-31
008;073;TRES COROAS;1980-01-01;2999-12-31
008;019;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;285;SANTA CRUZ;1980-01-01;2999-12-31
008;160;CURITIBANOS;1980-01-01;2999-12-31
008;364;CAMPOS NOVOS;2007-05-01;2999-12-31
008;7582;CIA SANTA MARIA;2020-07-01;2999-12-31
008;645;TRES PASSOS;2024-07-01;2999-12-31
008;537;SANTO ANGELO;2015-11-01;2999-12-31
008;7437;CIA SAO LUIZ GONZAGA 7437;2022-01-03;2999-12-31
008;352;MONTENEGRO;2006-09-01;2999-12-31
008;7589;CIA NOVO HAMBURGO 7589;2021-08-01;2999-12-31
008;7268;CIA SANTA CRUZ;2020-06-01;2999-12-31
008;455;ITAQUI;2011-05-01;2999-12-31
008;7500;CIA CAXIAS DO SUL;2020-07-01;2999-12-31
008;305;IJUI;1980-01-01;2999-12-31
008;722;CONTROLE DE QUALIDADE;2022-10-04;2999-12-31
008;416;FRAIBURGO;2008-12-01;2999-12-31
008;510;VACARIA;2014-04-01;2999-12-31
008;015;SANTO ANGELO I;1980-01-01;2024-07-31
008;768;INFORMATICA;2017-05-01;2999-12-31
008;028;NOVA PRATA;1980-01-01;2999-12-31
008;187;LAGOA VERMELHA;1980-01-01;2999-12-31
008;302;CACHOEIRA DO SUL;1980-01-01;2999-12-31
008;601;SANTA MARIA;2025-03-01;2999-12-31
008;511;HORIZONTINA;2014-07-01;2999-12-31
008;095;SAO BORJA;1980-01-01;2024-07-31
008;7637;CIA BAGE 7637;2023-11-01;2999-12-31
008;663;TOLEDO 663;2025-08-01;2999-12-31
008;133;CURITIBANOS;1980-01-01;2999-12-31
008;395;CHAPECO;2008-02-01;2999-12-31
008;730;DIRETORIA ADMINISTRATIVA;2019-02-01;2024-11-30
008;632;SANTA VITORIA DO PALMAR;2023-01-01;2999-12-31
008;033;SANTO ANGELO;1980-01-01;2999-12-31
008;7568;CIA - RIO PARDO;2020-05-02;2999-12-31
008;219;LAGOA VERMELHA;1980-01-01;2999-12-31
008;611;ESPUMOSO;2022-01-03;2999-12-31
008;763;DECRE;1980-01-01;2024-07-31
008;129;PALMEIRA DAS MISSOES;1980-01-01;2999-12-31
008;563;SAO SEBASTIAO DO CAI;2018-02-02;2999-12-31
008;7588;CIA PORTO UNIAO;2020-10-30;2999-12-31
008;7092;CIA VACARIA;2020-06-01;2999-12-31
008;336;SAO SEBASTIAO DO CAI;2006-10-01;2999-12-31
008;7314;CIA TRES DE MAIO;2020-11-02;2999-12-31
008;476;SANTO AUGUSTO;2012-09-01;2999-12-31
008;465;SAO JERONIMO;2011-11-01;2999-12-31
008;7140;CIA UNIAO DA VITORIA;2020-09-01;2999-12-31
008;151;RIO GRANDE;1980-01-01;2999-12-31
008;7643;CIA PATO BRANCO 7643;2024-06-01;2999-12-31
008;900;LOGISTICA;2014-01-01;2999-12-31
008;163;CRUZ ALTA;1980-01-01;2999-12-31
008;7008;CIA - PALMEIRA DAS MISSOES;2020-05-02;2999-12-31
008;155;SAO LUIZ GONZAGA;1980-01-01;2999-12-31
008;1566;PORTO ALEGRE;2018-04-02;2999-12-31
008;407;RESTINGA SECA;2008-08-01;2999-12-31
008;504;CERRO LARGO;2014-03-01;2999-12-31
008;575;CLEVELANDIA;2018-08-22;2999-12-31
008;315;SAO PEDRO DO SUL;1980-01-01;2999-12-31
008;477;TAPEJARA;2012-08-01;2999-12-31
008;668;BAGE;2025-11-01;2999-12-31
008;343;SAO FRANCISCO DE PAULA;2006-07-01;2999-12-31
008;506;ROSARIO DO SUL;2014-03-01;2999-12-31
008;596;IJUI;2021-06-01;2999-12-31
008;447;URUGUAIANA;2011-01-01;2999-12-31
008;438;IBIRUBA;2010-03-01;2999-12-31
008;543;GARIBALDI;2017-05-01;2999-12-31
008;356;SANANDUVA;2006-10-01;2999-12-31
008;811;DIRETORIA GRAZZIOTIN;1980-01-01;2019-02-04
008;851;DIRETORIA TOTTAL;1980-01-01;2019-02-04
008;184;BAGE 184;1980-01-01;2999-12-31
008;051;GIRUA;1980-01-01;2024-07-31
008;556;TAPERA;2017-11-09;2999-12-31
008;075;DOIS VIZINHOS;1980-01-01;2999-12-31
008;780;DIRETORIA RECURSOS HUMANOS;1980-01-01;2999-12-31
008;584;PASSO FUNDO;2020-10-01;2999-12-31
008;256;SANTA MARIA;1980-01-01;2999-12-31
008;401;JULIO DE CASTILHOS;2008-05-01;2999-12-31
008;002;CACHOEIRINHA;1980-01-01;2024-07-31
008;721;MARKETING;2020-04-01;2999-12-31
008;648;SAO LEOPOLDO;2024-10-01;2999-12-31
008;7540;CIA SOLEDADE;2020-09-01;2999-12-31
008;052;PATO BRANCO;1980-01-01;2999-12-31
008;023;SAO FCO DE ASSIS;1980-01-01;2999-12-31
